rating_score,critic_likes,critic_comments,user_trialist,user_subscriber,user_eligible_for_trial,user_has_payment_method,movie_release_year,movie_title_language,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,user_id
2.0,0,0,1,1,0,1,2005.0,en,1,13,25,422,1176,85981819
2.0,0,0,0,0,1,1,2005.0,en,1,12,5,21,2425,4208563
3.0,0,0,0,0,1,0,2005.0,en,1,5,1,6,57,9820140
3.0,0,0,0,0,1,1,2005.0,en,1,6,1,12,172,57756708
4.0,0,0,0,0,1,1,2005.0,en,1,15,7,7,459,8516503
4.0,0,0,0,0,1,1,2005.0,en,1,13,94,1047,3624,9315002
3.0,0,0,0,0,1,0,2005.0,en,1,2,2,2,7,93302487
4.0,0,0,0,0,1,0,2005.0,en,1,1,1,0,34,18845680
4.0,0,0,0,0,1,0,2004.0,en,3,2,3,34,67,43826147
4.0,0,0,1,1,0,1,2004.0,en,11,48,0,3,518,83373278
3.0,0,0,0,0,1,0,2004.0,en,11,13,20,25,371,69110238
1.0,0,0,0,0,1,1,2004.0,en,11,8,0,3,86,29298131
1.0,0,0,1,1,0,0,2004.0,en,11,16,0,26,906,9698269
4.0,0,0,0,1,0,1,2004.0,en,11,1,0,1,40,10036141
3.0,0,0,0,0,1,0,2004.0,en,11,5,0,1,354,32172230
2.0,0,0,0,0,0,1,2004.0,en,11,6,0,1,164,39803646
3.0,0,0,0,0,1,0,2004.0,en,11,6,13,19,481,10386642
1.0,0,0,0,0,1,0,2004.0,en,11,6,0,3,60,35045915
2.0,0,0,0,0,1,0,2004.0,en,11,2,0,0,194,14527840
2.0,1,0,0,0,1,0,2004.0,en,11,1,2,5,19,88289058
4.0,0,0,0,0,1,0,2004.0,en,11,9,0,2,297,48907656
4.0,0,0,0,0,1,0,2004.0,en,11,31,13,34,674,77588452
2.0,0,0,0,0,1,0,2004.0,en,11,1,0,1,219,48568220
2.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,10,64405760
