rating_score,critic_likes,critic_comments,movie_release_year,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,avg_list_comments,avg_list_followers,avg_list_movie_number
2.0,0,0,2005.0,1.0,13,25,422,1176,1.9230769230769231,32.46153846153846,90.46153846153847
2.0,0,0,2005.0,1.0,12,5,21,2425,0.4166666666666667,1.75,202.08333333333334
3.0,0,0,2005.0,1.0,5,1,6,57,0.2,1.2,11.4
3.0,0,0,2005.0,1.0,6,1,12,172,0.16666666666666666,2.0,28.666666666666668
4.0,0,0,2005.0,1.0,15,7,7,459,0.4666666666666667,0.4666666666666667,30.6
4.0,0,0,2005.0,1.0,13,94,1047,3624,7.230769230769231,80.53846153846153,278.7692307692308
3.0,0,0,2005.0,1.0,2,2,2,7,1.0,1.0,3.5
4.0,0,0,2005.0,1.0,1,1,0,34,1.0,0.0,34.0
4.0,0,0,2004.0,3.0,2,3,34,67,1.5,17.0,33.5
4.0,0,0,2004.0,11.0,48,0,3,518,0.0,0.0625,10.791666666666666
3.0,0,0,2004.0,11.0,13,20,25,371,1.5384615384615385,1.9230769230769231,28.53846153846154
1.0,0,0,2004.0,11.0,8,0,3,86,0.0,0.375,10.75
1.0,0,0,2004.0,11.0,16,0,26,906,0.0,1.625,56.625
4.0,0,0,2004.0,11.0,1,0,1,40,0.0,1.0,40.0
3.0,0,0,2004.0,11.0,5,0,1,354,0.0,0.2,70.8
2.0,0,0,2004.0,11.0,6,0,1,164,0.0,0.16666666666666666,27.333333333333332
3.0,0,0,2004.0,11.0,6,13,19,481,2.1666666666666665,3.1666666666666665,80.16666666666667
1.0,0,0,2004.0,11.0,6,0,3,60,0.0,0.5,10.0
2.0,0,0,2004.0,11.0,2,0,0,194,0.0,0.0,97.0
2.0,1,0,2004.0,11.0,1,2,5,19,2.0,5.0,19.0
4.0,0,0,2004.0,11.0,9,0,2,297,0.0,0.2222222222222222,33.0
4.0,0,0,2004.0,11.0,31,13,34,674,0.41935483870967744,1.096774193548387,21.741935483870968
2.0,0,0,2004.0,11.0,1,0,1,219,0.0,1.0,219.0
2.0,0,0,2004.0,11.0,1,0,0,10,0.0,0.0,10.0
3.0,0,0,2004.0,11.0,28,1,24,1342,0.03571428571428571,0.8571428571428571,47.92857142857143
2.0,0,0,2004.0,11.0,1,0,0,18,0.0,0.0,18.0
4.0,0,0,2004.0,11.0,10,1,48,595,0.1,4.8,59.5
1.0,1,2,2004.0,11.0,4,4,6,23,1.0,1.5,5.75
1.0,0,0,2004.0,11.0,1,1,0,100,1.0,0.0,100.0
4.0,0,0,2004.0,11.0,1,3,854,577,3.0,854.0,577.0
4.0,0,0,2004.0,11.0,2,0,1,209,0.0,0.5,104.5
2.0,0,0,2004.0,11.0,2,0,2,25,0.0,1.0,12.5
3.0,0,0,2004.0,11.0,14,8,7,590,0.5714285714285714,0.5,42.142857142857146
4.0,0,0,2004.0,11.0,3,7,4,83,2.3333333333333335,1.3333333333333333,27.666666666666668
2.0,0,0,2004.0,11.0,7,1,13,778,0.14285714285714285,1.8571428571428572,111.14285714285714
4.0,0,0,2004.0,11.0,11,4,10,245,0.36363636363636365,0.9090909090909091,22.272727272727273
5.0,0,0,2004.0,11.0,1,9,509,132,9.0,509.0,132.0
2.0,0,0,2004.0,11.0,9,51,50,876,5.666666666666667,5.555555555555555,97.33333333333333
2.0,0,0,2004.0,11.0,5,12,203,741,2.4,40.6,148.2
1.0,0,0,2004.0,11.0,1,0,1,26,0.0,1.0,26.0
3.0,0,0,2004.0,11.0,3,8,2,40,2.6666666666666665,0.6666666666666666,13.333333333333334
1.0,0,0,2004.0,11.0,1,0,0,37,0.0,0.0,37.0
3.0,0,0,2004.0,11.0,1,0,0,3,0.0,0.0,3.0
2.0,0,0,2004.0,11.0,9,9,54,719,1.0,6.0,79.88888888888889
4.0,0,0,2004.0,11.0,1,2,0,5,2.0,0.0,5.0
2.0,0,0,2004.0,11.0,1,0,0,2,0.0,0.0,2.0
2.0,0,0,2004.0,11.0,36,21,98,1015,0.5833333333333334,2.7222222222222223,28.194444444444443
2.0,0,0,2004.0,11.0,17,1,38,2958,0.058823529411764705,2.235294117647059,174.0
2.0,0,0,2004.0,11.0,2,23,52,390,11.5,26.0,195.0
4.0,0,0,2004.0,11.0,6,8,29,74,1.3333333333333333,4.833333333333333,12.333333333333334
5.0,0,0,2004.0,11.0,3,161,4144,1586,53.666666666666664,1381.3333333333333,528.6666666666666
3.0,0,0,2004.0,11.0,5,15,39,90,3.0,7.8,18.0
1.0,0,0,2004.0,11.0,8,3,13,157,0.375,1.625,19.625
2.0,0,0,2004.0,11.0,9,0,2,111,0.0,0.2222222222222222,12.333333333333334
3.0,0,0,2004.0,11.0,2,0,0,23,0.0,0.0,11.5
1.0,0,0,2004.0,11.0,8,1,3,73,0.125,0.375,9.125
4.0,0,0,2004.0,11.0,1,1,0,10,1.0,0.0,10.0
3.0,0,0,2004.0,11.0,1,0,2,10,0.0,2.0,10.0
5.0,0,0,2004.0,11.0,18,220,2535,8726,12.222222222222221,140.83333333333334,484.77777777777777
3.0,0,0,2004.0,11.0,2,0,0,20,0.0,0.0,10.0
3.0,0,0,2004.0,11.0,4,2,2,117,0.5,0.5,29.25
3.0,0,0,2008.0,77.0,1,0,0,16,0.0,0.0,16.0
4.0,0,0,2008.0,77.0,1,1,6,23,1.0,6.0,23.0
3.0,0,0,2008.0,77.0,31,4,13,584,0.12903225806451613,0.41935483870967744,18.838709677419356
4.0,0,0,2008.0,77.0,8,0,3,136,0.0,0.375,17.0
1.0,0,0,2008.0,77.0,1,0,1,326,0.0,1.0,326.0
5.0,0,0,2008.0,77.0,21,5,126,1816,0.23809523809523808,6.0,86.47619047619048
4.0,1,0,2008.0,77.0,8,21,293,3365,2.625,36.625,420.625
3.0,0,0,2008.0,77.0,14,0,1,1783,0.0,0.07142857142857142,127.35714285714286
1.0,0,0,2008.0,77.0,1,0,0,20,0.0,0.0,20.0
4.0,0,0,2008.0,77.0,2,0,0,36,0.0,0.0,18.0
3.0,0,0,2008.0,77.0,1,0,0,3,0.0,0.0,3.0
4.0,0,0,2008.0,77.0,8,2,35,1705,0.25,4.375,213.125
3.0,0,0,2008.0,77.0,1,0,2,9,0.0,2.0,9.0
3.0,0,0,2008.0,77.0,88,13,94,897,0.14772727272727273,1.0681818181818181,10.193181818181818
2.0,0,0,2008.0,77.0,4,0,16,235,0.0,4.0,58.75
3.0,0,0,2008.0,77.0,8,0,11,211,0.0,1.375,26.375
5.0,0,0,2008.0,77.0,1,0,0,0,0.0,0.0,0.0
5.0,1,0,2008.0,77.0,1,0,0,2,0.0,0.0,2.0
4.0,0,0,2008.0,77.0,1,0,0,2,0.0,0.0,2.0
1.0,0,0,2008.0,77.0,2,0,3,209,0.0,1.5,104.5
5.0,1,0,2008.0,77.0,1,0,0,2,0.0,0.0,2.0
3.0,0,0,2008.0,77.0,4,2,9,64,0.5,2.25,16.0
2.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
4.0,1,0,2008.0,77.0,1,0,5,53,0.0,5.0,53.0
4.0,0,0,2008.0,77.0,2,0,5,53,0.0,2.5,26.5
4.0,1,0,2008.0,77.0,12,5,179,829,0.4166666666666667,14.916666666666666,69.08333333333333
3.0,0,0,2008.0,77.0,10,0,1,69,0.0,0.1,6.9
3.0,0,0,2008.0,77.0,1,3,0,174,3.0,0.0,174.0
4.0,0,0,2008.0,77.0,3,0,2,679,0.0,0.6666666666666666,226.33333333333334
2.0,0,0,2008.0,77.0,8,0,5,253,0.0,0.625,31.625
4.0,0,0,2008.0,77.0,1,0,1,60,0.0,1.0,60.0
3.0,0,0,2008.0,77.0,23,11,40,780,0.4782608695652174,1.7391304347826086,33.91304347826087
4.0,0,0,2008.0,77.0,6,0,7,395,0.0,1.1666666666666667,65.83333333333333
4.0,0,0,2008.0,77.0,19,0,3,297,0.0,0.15789473684210525,15.631578947368421
3.0,0,0,2008.0,77.0,4,0,32,213,0.0,8.0,53.25
3.0,0,0,2008.0,77.0,8,6,96,705,0.75,12.0,88.125
5.0,0,0,2008.0,77.0,8,0,4,101,0.0,0.5,12.625
4.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
2.0,1,1,2008.0,77.0,31,24,111,1316,0.7741935483870968,3.5806451612903225,42.45161290322581
5.0,0,0,2008.0,77.0,15,0,0,228,0.0,0.0,15.2
4.0,0,0,2008.0,77.0,1,0,0,16,0.0,0.0,16.0
2.0,0,0,2008.0,77.0,1,0,12,100,0.0,12.0,100.0
4.0,0,0,2008.0,77.0,3,9,51,571,3.0,17.0,190.33333333333334
3.0,0,0,2008.0,77.0,80,42,908,6021,0.525,11.35,75.2625
3.0,0,0,2008.0,77.0,15,0,1,58,0.0,0.06666666666666667,3.8666666666666667
3.0,0,0,2008.0,77.0,3,0,1,420,0.0,0.3333333333333333,140.0
4.0,0,0,2008.0,77.0,30,10,19,1076,0.3333333333333333,0.6333333333333333,35.86666666666667
4.0,0,0,2008.0,77.0,32,2,321,2222,0.0625,10.03125,69.4375
5.0,0,0,2008.0,77.0,12,2,30,772,0.16666666666666666,2.5,64.33333333333333
3.0,0,0,2008.0,77.0,2,0,1,114,0.0,0.5,57.0
5.0,0,0,2008.0,77.0,7,0,0,61,0.0,0.0,8.714285714285714
5.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
2.0,0,0,2008.0,77.0,8,5,144,2421,0.625,18.0,302.625
5.0,0,0,2008.0,77.0,1,0,0,15,0.0,0.0,15.0
5.0,0,0,2008.0,77.0,1,0,0,124,0.0,0.0,124.0
3.0,0,0,2008.0,77.0,1,0,0,32,0.0,0.0,32.0
4.0,0,0,2008.0,77.0,1,0,0,10,0.0,0.0,10.0
5.0,1,0,2008.0,77.0,5,0,11,246,0.0,2.2,49.2
3.0,0,0,2008.0,77.0,2,0,2,40,0.0,1.0,20.0
5.0,0,0,2008.0,77.0,1,0,1,5,0.0,1.0,5.0
4.0,0,0,2008.0,77.0,1,0,3,1,0.0,3.0,1.0
3.0,0,0,2008.0,77.0,7,0,2,201,0.0,0.2857142857142857,28.714285714285715
4.0,1,0,2008.0,77.0,2,15,63,373,7.5,31.5,186.5
5.0,0,0,2008.0,77.0,1,0,1,45,0.0,1.0,45.0
3.0,0,0,2008.0,77.0,3,4,21,58,1.3333333333333333,7.0,19.333333333333332
3.0,0,0,2008.0,77.0,20,50,2463,6191,2.5,123.15,309.55
4.0,0,0,2008.0,77.0,6,0,1,164,0.0,0.16666666666666666,27.333333333333332
2.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
